date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:20	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d605-572a5a3dea100%22	https://preview.colorlib.com/theme/beckham/fonts/open-iconic/open-iconic.svg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/open-iconic/open-iconic.svg	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:20	483/483	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20May%202021%2010:43:20%20GMT	https://preview.colorlib.com/theme/beckham/css/owl.video.play.png	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/css/owl.video.play.png	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:22	112826/112826	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221b8ba-572a5a7446140%22	https://preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons580c.eot	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:23	50592/50592	---M--	200	added ('OK')	font/woff2	etag:%22c5a0-572a5a7816a40%22	https://preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons580c.woff2	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:23	66024/66024	---M--	200	added ('OK')	font/woff	etag:%22101e8-572a5a7816a40%22	https://preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons580c.woff	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:25	112648/112648	---MCZ	200	added ('OK')	font/ttf	etag:W/%221b808-572a5a762e5c0%22	https://preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons580c.ttf	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:26	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c76f-572a5a7722800%22	https://preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/ionicons/fonts/ionicons580c.svg	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:27	3766/3766	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22eb6-572a5a5f4afc0%22	https://preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.eot	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:28	3766/3766	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22eb6-572a5a5f4afc0%22	https://preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.eot?	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:28	2544/2544	---M--	200	added ('OK')	font/woff	etag:%229f0-572a5a6133440%22	https://preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.woff	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
